query,id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,mentioned_names,mentioned_ids,hashtags,intervention_type,intervention_text,intervention_url
from:@Mediapart since:2021-09-01,1464186677321252895,1637924281,2021-11-26T10:58:01,Mediapart,"📧 Chaque jeudi, recevez la lettre du Club, l'espace des contributions des abonné·e·s et des tribunes de Mediapart. 📣 Dans cette lettre, retrouvez thématiques et temps forts de la semaine, les rendez-vous à ne pas manquer et les nouveaux contributeurs. https://bit.ly/2HhfLCg",0,0,0,1,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.889096,https://twitter.com/Mediapart/statuses/1464186677321252895,,,,,https://bit.ly/2HhfLCg,bit.ly,,,,,,,,,
from:@Mediapart since:2021-09-01,1464181891305807875,1637923140,2021-11-26T10:39:00,Mediapart,"Le géant américain du commerce en ligne n’hésite pas à licencier des syndicalistes. La #CGT multiplie les procédures judiciaires. En 5 mois, l’entreprise a été condamnée 3 fois pour avoir écarté trop facilement des militants ou des responsables syndicaux. https://bit.ly/3DUMPZ3",0,9,22,2,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.890086,https://twitter.com/Mediapart/statuses/1464181891305807875,,,,,https://bit.ly/3DUMPZ3,bit.ly,,,,,,cgt,,,
from:@Mediapart since:2021-09-01,1464177110638112773,1637922000,2021-11-26T10:20:00,Mediapart,La préparation des fêtes de fin d’année y fait grimper en flèche le nombre d’intérimaires. Le recours au travail temporaire est incontournable chez le géant de l’e-commerce. Les agences d’intérim ont leurs locaux « on site » dans les 8 entrepôts français. https://bit.ly/3nQzlIe,0,3,9,1,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.890974,https://twitter.com/Mediapart/statuses/1464177110638112773,,,,,https://bit.ly/3nQzlIe,bit.ly,,,,,,,,,
from:@Mediapart since:2021-09-01,1464172328934379521,1637920860,2021-11-26T10:01:00,Mediapart,"#BlackFriday : « #Amazon tire vers le bas les conditions de travail dans tout le secteur » 
– par @dan_mdpt 
https://bit.ly/3cRhcnm",0,7,21,0,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.891983,https://twitter.com/Mediapart/statuses/1464172328934379521,,,,,https://bit.ly/3cRhcnm,bit.ly,,,,dan_mdpt,29437899,amazon|blackfriday,,,
from:@Mediapart since:2021-09-01,1464167550070280207,1637919721,2021-11-26T09:42:01,Mediapart,"Au procès du #13Novembre, le témoignage sous tension d’un policier belge 

– par @karl_laske https://bit.ly/3r5Wjx0",0,2,1,0,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.892966,https://twitter.com/Mediapart/statuses/1464167550070280207,,,,,https://bit.ly/3r5Wjx0,bit.ly,,,,karl_laske,359348018,13novembre,,,
from:@Mediapart since:2021-09-01,1464162768643362817,1637918581,2021-11-26T09:23:01,Mediapart,"Chez #Amazon, l’intérim, c’est toute l’année https://bit.ly/3nQzlIe",0,10,10,6,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.893791,https://twitter.com/Mediapart/statuses/1464162768643362817,,,,,https://bit.ly/3nQzlIe,bit.ly,,,,,,amazon,,,
from:@Mediapart since:2021-09-01,1464157985400410112,1637917441,2021-11-26T09:04:01,Mediapart,"#Amazon épinglé par la justice pour « discrimination syndicale » 
– par @CalvezLeo 
https://bit.ly/3DUMPZ3",0,14,25,1,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.894602,https://twitter.com/Mediapart/statuses/1464157985400410112,,,,,https://bit.ly/3DUMPZ3,bit.ly,,,,calvezleo,1129678041867800576,amazon,,,
from:@Mediapart since:2021-09-01,1464001202996326401,1637880061,2021-11-25T22:41:01,Mediapart,"Ce soir @_alairlibre est consacrée aux révélations sur la complicité de la France dans les crimes de la dictature égyptienne : révélations des journalistes de @Disclose_ngo, @Telerama et « @Cdenquete. https://bit.ly/3nPqPJh",0,26,43,3,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.895657,https://twitter.com/Mediapart/statuses/1464001202996326401,,,,,https://bit.ly/3nPqPJh,bit.ly,,,,_alairlibre|cdenquete|disclose_ngo|telerama,16996244|455928817|2864197246|67278158,,,,
from:@Mediapart since:2021-09-01,1463991640218083336,1637877781,2021-11-25T22:03:01,Mediapart,"Travailler et enquêter sur l’#extrêmedroite en France, c’est s’exposer à des menaces, du cyberharcèlement, des insultes et du dénigrement. Et dans un milieu très masculiniste, être une journaliste femme est un facteur aggravant. https://bit.ly/3nSXmOY",0,33,72,51,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.896661,https://twitter.com/Mediapart/statuses/1463991640218083336,,,,,https://bit.ly/3nSXmOY,bit.ly,,,,,,extrêmedroite,,,
from:@Mediapart since:2021-09-01,1463991640130007041,1637877781,2021-11-25T22:03:01,Mediapart,"Malgré plusieurs plaintes et accusations d’actes de torture, Ahmed Nasser al-Raisi, inspecteur général de la police des Émirats arabes unis, a été élu président de l’organisation mondiale de police ce jeudi 25 novembre, à Istanbul. https://bit.ly/3FOxUQu",0,49,62,11,fr,,,,Buffer,https://buffer.com,Paris,,,19976004,Mediapart,1,"Journal d'information numérique, indépendant et participatif. Seuls nos lecteurs peuvent nous acheter ! Suivez aussi @MediapartBlogs et @_alairlibre.",https://www.mediapart.fr/,https://pbs.twimg.com/profile_images/1064526177560379393/37lb6PoC_normal.jpg,126879,2787375,1966,3760,11982,2009-02-03T15:07:42,1233673662,scraping,1,,,,,,,,,2021-11-26T11:04:10.897522,https://twitter.com/Mediapart/statuses/1463991640130007041,,,,,https://bit.ly/3FOxUQu,bit.ly,,,,,,,,,
