,Unnamed: 0,query,id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,mentioned_names,mentioned_ids,hashtags,intervention_type,intervention_text,intervention_url,score,sentiment,nature,naturescore
0,0,(from:ZemmourEric),1.463149114909241e+18,1637676907.0,2021-11-23 14:15:07,ZemmourEric,"En avril 2022, ne vous faites plus avoir collectivement.
https://www.europe1.fr/politique/on-sest-parfois-fait-avoir-collectivement-dit-macron-a-des-ex-whirlpool-a-amiens-4078375",0.0,532.0,1975.0,118.0,fr,,,,Twitter for Android,http://twitter.com/download/android,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,,,,,2021-11-23T18:14:15.460678,https://twitter.com/ZemmourEric/statuses/1463149114909241344,,,,,https://www.europe1.fr/politique/on-sest-parfois-fait-avoir-collectivement-dit-macron-a-des-ex-whirlpool-a-amiens-4078375,europe1.fr,,,,,,,,,,0.6439892649650574,Negative,Problem,0.6661596894264221
1,1,(from:ZemmourEric),1.4631089610250772e+18,1637667334.0,2021-11-23 11:35:34,ZemmourEric,"Hier matin, j'étais l'invité de @Marcfauvelle et @salhiabrakhlia sur @franceinfo.

Pour voir ou revoir mon entretien rendez-vous sur ma chaîne YouTube :
➡️https://youtu.be/ePjGEV9VFBM

#DirectZemmour https://twitter.com/ZemmourEric/status/1463108961025077253/photo/1",0.0,248.0,860.0,79.0,fr,,,,Twitter for Android,http://twitter.com/download/android,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,,,,,2021-11-23T18:14:15.461533,https://twitter.com/ZemmourEric/statuses/1463108961025077253,,,,,https://youtu.be/ePjGEV9VFBM,youtu.be,https://pbs.twimg.com/media/FE4B2KNXEAUn7Yp.jpg,1463108961025077253_FE4B2KNXEAUn7Yp.jpg,photo,franceinfo|marcfauvelle|salhiabrakhlia,38395124|127607180|70102997,directzemmour,,,,0.8131531476974487,Neutral,Other,0.9402994513511658
2,2,(from:ZemmourEric),1.4630637796342907e+18,1637656562.0,2021-11-23 08:36:02,ZemmourEric,"Les communistes n'ont pas changé. Ils exécrent toujours autant la démocratie et la liberté. « Valeurs: 🔴 Présidentielle 2022 : Fabien Roussel (PCF) félicite les maires qui refusent des salles pour les meetings de Marine Le Pen et Eric Zemmour ↩️

https://buff.ly/3cA9hur — https://twitter.com/Valeurs/status/1462538865277820933 »",0.0,1216.0,4705.0,214.0,fr,,,,Twitter for Android,http://twitter.com/download/android,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,1.462538865277821e+18,Valeurs,112754792.0,1637531412.0,2021-11-23T18:14:15.463297,https://twitter.com/ZemmourEric/statuses/1463063779634290691,,,,,https://buff.ly/3cA9hur|https://twitter.com/Valeurs/status/1462538865277820933,buff.ly|twitter.com,,,,,,,,,,0.5844367742538452,Positive,Other,0.5074601173400879
3,3,(from:ZemmourEric),1.4627854876980795e+18,1637590212.0,2021-11-22 14:10:12,ZemmourEric,"Après 4 ans et demi de surdité idéologique, la Macronie décide d'écouter. Ça tombe bien, la France a un mot à lui dire. « enmarchefr: Notre engagement : vous écouter pour avancer ! C'est pourquoi nous avons lancé une grande opération d'écoute.

➡️ Participez à « 5 ans à l'écoute » ici : http://5ansdeplus.fr

#5ansalecoute https://twitter.com/enmarchefr/status/1462707465083133961/video/1 — https://twitter.com/enmarchefr/status/1462707465083133961 »",0.0,611.0,2515.0,250.0,fr,,,,Twitter for Android,http://twitter.com/download/android,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,1.462707465083134e+18,enmarchefr,4813171035.0,1637571610.0,2021-11-23T18:14:15.464686,https://twitter.com/ZemmourEric/statuses/1462785487698079751,,,,,http://5ansdeplus.fr|https://twitter.com/enmarchefr/status/1462707465083133961,5ansdeplus.fr|twitter.com,https://video.twimg.com/amplify_video/1462705902516154369/vid/720x900/BlrSe4QWwtXwtGKS.mp4,1462707465083133961_BlrSe4QWwtXwtGKS.mp4,video,,,5ansalecoute,,,,0.8174189329147339,Positive,Solution,0.4882674217224121
4,4,(from:ZemmourEric),1.4627783375632343e+18,1637588507.0,2021-11-22 13:41:47,ZemmourEric,"Merci @CarolineConnan de m'avoir reçu chez @BloombergTV.

Retrouvez l'intégralité de mon entretien ici :
https://www.bloomberg.com/news/videos/2021-11-22/eric-zemmour-on-brexit-trade-and-the-economy-video « BloombergTV: ""I'm not upset that I'm compared to Donald Trump but always makes me laugh because you should always compare me to Boris Johnson,"" says author and possible French Presidential candidate Eric Zemmour. He speaks to @CarolineConnan in a wide-ranging interview https://trib.al/vPABr8T https://twitter.com/BloombergTV/status/1462713443518140423/video/1 — https://twitter.com/BloombergTV/status/1462713443518140423 »",0.0,402.0,1388.0,72.0,fr,,,,Twitter Web App,https://mobile.twitter.com,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,1.4627134435181404e+18,BloombergTV,35002876.0,1637573035.0,2021-11-23T18:14:15.466462,https://twitter.com/ZemmourEric/statuses/1462778337563234308,,,,,https://trib.al/vPABr8T|https://twitter.com/BloombergTV/status/1462713443518140423|https://www.bloomberg.com/news/videos/2021-11-22/eric-zemmour-on-brexit-trade-and-the-economy-video,trib.al|twitter.com|bloomberg.com,https://video.twimg.com/amplify_video/1462712447870152706/vid/720x720/pr3BxL3DpdrjGXEr.mp4,1462713443518140423_pr3BxL3DpdrjGXEr.mp4,video,bloombergtv|carolineconnan,35002876|63059171,,,,,0.416873037815094,Positive,Other,0.8002971410751343
5,5,(from:ZemmourEric),1.4627043840816005e+18,1637570875.0,2021-11-22 08:47:55,ZemmourEric,"C'est une habileté tactique d'Emmanuel Macron et des médias de remettre la question de la crise sanitaire sur le tapis pour changer de sujet. Depuis que je suis rentré dans l'arène, on ne parle que d'immigration. Donc le covid permet de changer d'agenda.
#DirectZemmour https://twitter.com/ZemmourEric/status/1462704384081600513/video/1",0.0,879.0,2850.0,207.0,fr,,,,Twitter Web App,https://mobile.twitter.com,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,,,,,2021-11-23T18:14:15.467182,https://twitter.com/ZemmourEric/statuses/1462704384081600513,,,,,,,https://video.twimg.com/ext_tw_video/1462704153399111682/pu/vid/1280x720/waMUQZDRwoedOiWE.mp4,1462704384081600513_waMUQZDRwoedOiWE.mp4,video,,,directzemmour,,,,0.4503224194049835,Negative,Problem,0.7556360960006714
6,6,(from:ZemmourEric),1.4627037880332534e+18,1637570733.0,2021-11-22 08:45:33,ZemmourEric,"Puisqu'il n'y a pas d'obligation vaccinale, pourquoi obliger les soignants à se vacciner en #Guadeloupe, comme partout en France ? On a beaucoup joué avec la peur des gens. C'est très excessif.
#DirectZemmour https://twitter.com/ZemmourEric/status/1462703788033253382/video/1",0.0,2104.0,6273.0,606.0,fr,,,,Twitter Web App,https://mobile.twitter.com,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,,,,,2021-11-23T18:14:15.467848,https://twitter.com/ZemmourEric/statuses/1462703788033253382,,,,,,,https://video.twimg.com/ext_tw_video/1462703461234102272/pu/vid/1280x720/jQACpIJHTo_G72lj.mp4,1462703788033253382_jQACpIJHTo_G72lj.mp4,video,,,directzemmour|guadeloupe,,,,0.9559390544891356,Negative,Problem,0.8218365907669067
7,7,(from:ZemmourEric),1.4627018367633777e+18,1637570268.0,2021-11-22 08:37:48,ZemmourEric,"Je suis fier d'être un « débutant » en tant qu'homme politique car moi, je ne suis pas abimé par les luttes politiciennes, les luttes partisanes, les calculs et les petites compromissions.
#DirectZemmour https://twitter.com/ZemmourEric/status/1462701836763377668/video/1",0.0,588.0,2320.0,119.0,fr,,,,Twitter Web App,https://mobile.twitter.com,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,,,,,2021-11-23T18:14:15.468427,https://twitter.com/ZemmourEric/statuses/1462701836763377668,,,,,,,https://video.twimg.com/ext_tw_video/1462701456537137152/pu/vid/1280x720/FaNbIagZUoOyqBmY.mp4,1462701836763377668_FaNbIagZUoOyqBmY.mp4,video,,,directzemmour,,,,0.7431580424308777,Positive,Other,0.8111518621444702
8,8,(from:ZemmourEric),1.462533499357995e+18,1637530133.0,2021-11-21 21:28:53,ZemmourEric,"Cher Éric, merci pour la sincérité de ton soutien ! « ECiotti: Oui je suis en colère ! 

Une fatwa contre @ZemmourEric ?

Aucune réaction du président et de ses ministres. 

Parce que c’est Éric Zemmour et qu’on est pas d’accord avec lui, on peut l’assassiner ? #DebatLR #CongresLR https://twitter.com/ECiotti/status/1462531077789163520/video/1 — https://twitter.com/ECiotti/status/1462531077789163520 »",0.0,2225.0,9075.0,310.0,fr,,,,Twitter for Android,http://twitter.com/download/android,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,1.4625310777891635e+18,ECiotti,87886754.0,1637529556.0,2021-11-23T18:14:15.469264,https://twitter.com/ZemmourEric/statuses/1462533499357995009,,,,,https://twitter.com/ECiotti/status/1462531077789163520,twitter.com,https://video.twimg.com/ext_tw_video/1462530968833732615/pu/vid/750x380/7uPlH3reTHXy_Jjw.mp4,1462531077789163520_7uPlH3reTHXy_Jjw.mp4,video,zemmoureric,1183418538285027329,congreslr|debatlr,,,,0.8531891703605652,Negative,Other,0.834457278251648
9,9,(from:ZemmourEric),1.462520929108566e+18,1637527136.0,2021-11-21 20:38:56,ZemmourEric,#LaDroiteAvecZemmour https://twitter.com/ZemmourEric/status/1462520929108566019/photo/1,0.0,789.0,3394.0,118.0,und,,,,Twitter for Android,http://twitter.com/download/android,France,,,1.1834185382850273e+18,Eric Zemmour,0.0,Compte officiel,http://croiseedeschemins-ez.fr,https://pbs.twimg.com/profile_images/1438512918996262913/wyx604Cy_normal.jpg,3435.0,284013.0,16.0,485.0,774.0,2019-10-13 16:26:30,1570983990.0,scraping,1.0,,,,,,,,,2021-11-23T18:14:15.469765,https://twitter.com/ZemmourEric/statuses/1462520929108566019,,,,,,,https://pbs.twimg.com/media/FEvrCAZXsAIhv59.jpg,1462520929108566019_FEvrCAZXsAIhv59.jpg,photo,,,ladroiteaveczemmour,,,,0.7497897744178772,Neutral,Other,0.9507450461387634
